cash,future
ABB,ACC
ACC,ADANIENT
ADANIENT,ADANIPORTS
ADANIPORTS,ADANIPOWER
ADANIPOWER,AMARAJABAT
AJANTPHAR,AMBUJACEM
AJANTPHARM,APOLLOHOSP
ALKEM,APOLLOTYRE
AMARAJABAT,ASHOKLEY
AMBUJACEM,ASIANPAINT
APLLTD,AUROPHARMA
APOLLOHOSP,AXISBANK
APOLLOTYRE,BAJAJAUTO
ASHOKLEY,BAJAJFINSV
ASIANPAINT,BAJFINANCE
AUROPHARMA,BALKRISIND
AXISBANK,BATAINDIA
BAJAJAUTO,BEL
BAJAJFINSV,BERGEPAINT
BAJFINANCE,BHARATFORG
BALKRISIND,BHARTIARTL
BATAINDIA,BIOCON
BBTC,BPCL
BEL,BRITANNIA
BERGEPAINT,CADILAHC
BHARATFORG,CANBK
BHARTIARTL,CENTURYTEX
BHEL,CESC
BIOCON,CHOLAFIN
BPCL,CIPLA
BRITANNIA,COALINDIA
CADILAHC,COLPAL
CANBK,CONCOR
CASTROLIND,CUMMINSIND
CDSL,DABUR
CEATLTD,DIVISLAB
CENTURYTEX,DLF
CESC,DRREDDY
CHOLAFIN,EICHERMOT
CIPLA,EQUITAS
COALINDIA,ESCORTS
COLPAL,EXIDEIND
CONCOR,FEDERALBNK
COROMANDEL,GAIL
CROMPTON,GLENMARK
CUMMINSIND,GMRINFRA
DABUR,GODREJCP
DCBBANK,GRASIM
DIVISLAB,HAVELLS
DLF,HCLTECH
DMART,HDFC
DREDGECORP,HDFCBANK
DRREDDY,HEROMOTOCO
EICHERMOT,HEXAWARE
ESCORTS,HINDALCO
EXIDEIND,HINDPETRO
FEDERALBNK,HINDUNILVR
GAIL,IBULHSGFIN
GESHIP,ICICIBANK
GICHSGFIN,ICICIPRULI
GLAXO,IGL
GLENMARK,INDIGO
GODFRYPHLP,INDUSINDBK
GODREJCP,INFRATEL
GODREJIND,INFY
GRANULES,IOC
GRAPHITE,ITC
GRASIM,JINDALSTEL
GREAVESCOT,JSWSTEEL
GSKCONS,JUBLFOOD
GSPL,JUSTDIAL
HAVELLS,KOTAKBANK
HCLTECH,L&TFH
HDFC,LICHSGFIN
HDFCAMC,LT
HDFCBANK,LUPIN
HDFCLIFE,MANAPPURAM
HEG,MARICO
HEROMOTOCO,MARUTI
HEXAWARE,MCDOWELL-N
HINDALCO,MFSL
HINDPETRO,MGL
HINDUNILVR,MINDTREE
HINDZINC,MM
HUDCO,MMFIN
IBULHSGFIN,MOTHERSUMI
IBVENTURES,MRF
ICICIBANK,MUTHOOTFIN
ICICIGI,NATIONALUM
ICICIPRULI,NAUKRI
IDBI,NCC
IGL,NESTLEIND
INDHOTEL,NIITTECH
INDIANB,NMDC
INDIGO,NTPC
INDUSINDBK,OIL
INFRATEL,ONGC
INFY,PAGEIND
IOC,PEL
IPCALAB,PETRONET
IRB,PFC
IRCTC,PIDILITIND
ITC,POWERGRID
ITDC,PVR
JINDALSTEL,RBLBANK
JSWENERGY,RECLTD
JSWSTEEL,RELIANCE
JUBILANT,SAIL
JUBLFOOD,SBIN
JUSTDIAL,SHREECEM
KAJARIACER,SIEMENS
KARURVYSA,SRF
KOTAKBANK,SRTRANSFIN
KSCL,STAR
KTKBANK,SUNPHARMA
LALPATHLAB,SUNTV
LIBERTSHOE,TATACHEM
LICHSGFIN,TATAMOTORS
LT,TATAPOWER
LUPIN,TATASTEEL
L_TFH,TCS
MAGADSUGAR,TECHM
MANAPPURAM,TITAN
MARICO,TORNTPHARM
MARUTI,TORNTPOWER
MCDOWELL-N,TVSMOTOR
MCX,UBL
MFSL,UJJIVAN
MGL,ULTRACEMCO
MINDAIND,UPL
MINDTREE,VEDL
MM,VOLTAS
MMFIN,WIPRO
MOTHERSUMI,YESBANK
MPHASIS,ZEEL
MRF,
MRPL,
MUTHOOTFIN,
NATIONALUM,
NAUKRI,
NBCC,
NCC,
NESTLEIND,
NIACL,
NIITTECH,
NILKAMAL,
NMDC,
NTPC,
OFSS,
OIL,
ONGC,
ORIENTBANK,
ORISSAMINE,
PAGEIND,
PEL,
PETRONET,
PFC,
PIDILITE,
PNB,
POWERGRID,
PRESTIGE,
PVR,
RALLIS,
RAMCOCEM,
RAYMOND,
RBLBANK,
RECLTD,
RELIANCE,
SAIL,
SBILIFE,
SBIN,
SHREECEM,
SIEMENS,
SOBHA,
SRF,
SRTRANSFIN,
STAR,
STRTECH,
SUNPHARMA,
SUNTV,
SURYAROSNI,
TATACHEM,
TATACOMM,
TATAELXSI,
TATAMOTORS,
TATAMTRDVR,
TATAPOWER,
TATASTEEL,
TCS,
TECHM,
THERMAX,
TIDEWATER,
TITAN,
TORNTPHARM,
TORNTPOWER,
TVSMOTOR,
UBL,
UJJIVAN,
ULTRACEMCO,
UNIONBANK,
UPL,
VEDL,
VGUARD,
VOLTAS,
WELCORP,
WHEELS,
WIPRO,
WOCKPHARMA,
YESBANK,
ZEEL,
